1, 0
2, 1
3, 3
4, 6
5, 10
6, 15
7, 21
8, 28
9, 36
10, 45
11, 55
12, 66
13, 78
14, 91
15, 105
16, 120
17, 136
18, 153
19, 171
20, 190
21, 210
22, 231
23, 253
24, 276
25, 300
26, 325
27, 351
28, 378
29, 406
30, 435
31, 465
32, 496
33, 528
34, 561
35, 595
36, 630
37, 666
38, 703
39, 741
40, 780
41, 820
42, 861
43, 903
44, 946
45, 990
46, 1035
47, 1081
48, 1128
49, 1176
50, 1225
51, 1275
52, 1326
53, 1378
54, 1431
55, 1485
56, 1540
57, 1596
58, 1653
59, 1711
60, 1770
61, 1830
62, 1891
63, 1953
64, 2016
65, 2080
66, 2145
67, 2211
68, 2278
69, 2346
70, 2415
71, 2485
72, 2556
73, 2628
74, 2701
75, 2775
76, 2850
77, 2926
78, 3003
79, 3081
80, 3160
81, 3240
82, 3321
83, 3403
84, 3486
85, 3570
86, 3655
87, 3741
88, 3828
89, 3916
90, 4005
91, 4095
92, 4186
93, 4278
94, 4371
95, 4465
96, 4560
97, 4656
98, 4753
99, 4851
100, 4950
101, 5050
102, 5151
103, 5253
104, 5356
105, 5460
106, 5565
107, 5671
108, 5778
109, 5886
110, 5995
111, 6105
112, 6216
113, 6328
114, 6441
115, 6555
116, 6670
117, 6786
118, 6903
119, 7021
120, 7140
121, 7260
122, 7381
123, 7503
124, 7626
125, 7750
126, 7875
127, 8001
128, 8128
129, 8256
130, 8385
131, 8515
132, 8646
133, 8778
134, 8911
135, 9045
136, 9180
137, 9316
138, 9453
139, 9591
140, 9730
141, 9870
142, 10011
143, 10153
144, 10296
145, 10440
146, 10585
147, 10731
148, 10878
149, 11026
150, 11175
151, 11325
152, 11476
153, 11628
154, 11781
155, 11935
156, 12090
157, 12246
158, 12403
159, 12561
160, 12720
161, 12880
162, 13041
163, 13203
164, 13366
165, 13530
166, 13695
167, 13861
168, 14028
169, 14196
170, 14365
171, 14535
172, 14706
173, 14878
174, 15051
175, 15225
176, 15400
177, 15576
178, 15753
179, 15931
180, 16110
181, 16290
182, 16471
183, 16653
184, 16836
185, 17020
186, 17205
187, 17391
188, 17578
189, 17766
190, 17955
191, 18145
192, 18336
193, 18528
194, 18721
195, 18915
196, 19110
197, 19306
198, 19503
199, 19701
200, 19900
201, 20100
202, 20301
203, 20503
204, 20706
205, 20910
206, 21115
207, 21321
208, 21528
209, 21736
210, 21945
211, 22155
212, 22366
213, 22578
214, 22791
215, 23005
216, 23220
217, 23436
218, 23653
219, 23871
220, 24090
221, 24310
222, 24531
223, 24753
224, 24976
225, 25200
226, 25425
227, 25651
228, 25878
229, 26106
230, 26335
231, 26565
232, 26796
233, 27028
234, 27261
235, 27495
236, 27730
237, 27966
238, 28203
239, 28441
240, 28680
241, 28920
242, 29161
243, 29403
244, 29646
245, 29890
246, 30135
247, 30381
248, 30628
249, 30876
250, 31125
251, 31375
252, 31626
253, 31878
254, 32131
255, 32385
256, 32640
257, 32896
258, 33153
259, 33411
260, 33670
261, 33930
262, 34191
263, 34453
264, 34716
265, 34980
266, 35245
267, 35511
268, 35778
269, 36046
270, 36315
271, 36585
272, 36856
273, 37128
274, 37401
275, 37675
276, 37950
277, 38226
278, 38503
279, 38781
280, 39060
281, 39340
282, 39621
283, 39903
284, 40186
285, 40470
286, 40755
287, 41041
288, 41328
